ID,日付,昨年実績,日割予算,売上実績,取置計,顧客計,客数計
12,2007-09-01,204100,350000,352100,0,0,20
12,2007-09-02,408000,350000,163500,0,0,11
12,2007-09-03,228100,200000,181400,0,0,11
12,2007-09-04,216300,200000,107200,0,0,6
12,2007-09-05,182700,200000,131200,0,0,5
12,2007-09-06,150700,200000,130700,0,0,3
12,2007-09-07,245300,200000,245000,0,2,15
12,2007-09-08,338300,350000,458900,0,0,23
12,2007-09-09,258000,350000,278400,0,0,17
12,2007-09-10,164600,200000,113300,0,0,8
12,2007-09-11,190300,200000,216700,0,0,16
12,2007-09-12,170200,200000,243100,53300,0,11
12,2007-09-13,0,0,0,0,0,0
12,2007-09-14,179700,200000,381600,0,0,14
12,2007-09-15,404900,350000,311700,0,0,15
12,2007-09-16,266100,350000,366500,0,0,17
12,2007-09-17,533700,300000,286500,0,0,13
12,2007-09-18,164800,200000,214000,0,0,10
12,2007-09-19,273100,200000,214100,0,1,9
12,2007-09-20,152000,150000,144300,0,0,10
12,2007-09-21,172900,150000,190100,0,2,8
12,2007-09-22,408700,300000,221300,0,0,14
12,2007-09-23,355800,300000,201400,0,0,12
12,2007-09-24,237700,300000,479900,0,0,14
12,2007-09-25,283700,150000,111400,0,2,5
12,2007-09-26,250300,150000,185900,0,2,11
12,2007-09-27,268100,150000,169100,0,0,8
12,2007-09-28,352200,150000,181700,0,0,11
12,2007-09-29,511100,300000,386600,0,0,20
12,2007-09-30,250000,300000,674400,0,0,20
23,2007-09-01,0,200000,44640,190000,0,1
23,2007-09-02,0,250000,122240,0,0,4
23,2007-09-03,0,180000,137800,0,2,6
23,2007-09-04,0,180000,210000,53600,3,5
23,2007-09-05,0,120000,135600,0,0,4
23,2007-09-06,0,120000,109640,0,0,3
23,2007-09-07,0,150000,167200,0,3,7
23,2007-09-08,0,230000,247800,222000,0,5
23,2007-09-09,0,270000,51300,0,0,2
23,2007-09-10,0,160000,121800,20000,3,4
23,2007-09-11,0,160000,185640,0,1,5
23,2007-09-12,0,150000,25120,0,0,2
23,2007-09-13,0,150000,51620,0,0,5
23,2007-09-14,0,150000,197000,42000,2,4
23,2007-09-15,0,250000,201580,112200,1,5
23,2007-09-16,0,280000,409400,28000,4,9
23,2007-09-17,0,220000,130600,0,4,4
23,2007-09-18,0,170000,100000,54000,0,4
23,2007-09-19,0,150000,57200,30000,1,3
23,2007-09-20,0,150000,179400,59800,0,3
23,2007-09-21,0,150000,150320,0,1,9
23,2007-09-22,0,200000,110400,65000,2,5
23,2007-09-23,0,250000,327900,75000,6,10
23,2007-09-24,0,200000,109000,0,1,6
23,2007-09-25,0,150000,219800,26000,2,6
23,2007-09-26,0,120000,124440,0,0,3
23,2007-09-27,0,120000,200200,0,1,4
23,2007-09-28,0,120000,124680,38000,0,6
23,2007-09-29,0,200000,375000,58000,3,10
23,2007-09-30,0,800000,1375420,26000,4,29
14,2007-09-01,0,350000,210800,0,0,15
14,2007-09-02,0,350000,315700,0,2,19
14,2007-09-03,0,200000,189900,0,0,14
14,2007-09-04,0,200000,219100,9000,0,17
14,2007-09-05,0,200000,330200,7900,0,22
14,2007-09-06,0,200000,112000,0,0,9
14,2007-09-07,0,200000,128900,38000,0,10
14,2007-09-08,469300,350000,234100,23200,1,18
