ID,日付,昨年実績,日割予算,売上実績,取置き,新規獲得顧客,客数
12,2007/10/1,219800,250000,143000,249800,1,6
12,2007/10/2,347400,250000,238500,249800,0,13
12,2007/10/3,311900,250000,322600,0,2,12
12,2007/10/4,250600,250000,216800,0,0,10
12,2007/10/5,253900,250000,168000,0,0,11
12,2007/10/6,426900,450000,360800,0,0,16
12,2007/10/7,605000,450000,285200,0,0,21
12,2007/10/8,511000,450000,382600,0,1,16
12,2007/10/9,207000,250000,201300,0,0,10
12,2007/10/10,215100,250000,239100,0,2,12
12,2007/10/11,252400,250000,173000,0,1,9
12,2007/10/12,305900,250000,153600,0,1,8
12,2007/10/13,314100,400000,342900,0,0,15
12,2007/10/14,486800,400000,311700,0,0,18
12,2007/10/15,158600,200000,108900,0,1,8
12,2007/10/16,174800,200000,251100,0,0,11
12,2007/10/17,267200,200000,228300,0,0,13
12,2007/10/18,158900,200000,149900,0,0,8
12,2007/10/19,242500,200000,195400,0,0,10
12,2007/10/20,411100,400000,301500,0,2,15
12,2007/10/21,333400,400000,300000,0,0,16
12,2007/10/22,156000,200000,331800,0,0,14
12,2007/10/23,152500,200000,47700,0,0,2
12,2007/10/24,283400,200000,225400,0,0,12
12,2007/10/25,156700,200000,163200,0,0,8
12,2007/10/26,397900,200000,225100,0,1,11
12,2007/10/27,306300,350000,347400,0,0,13
12,2007/10/28,414900,350000,295900,0,0,14
12,2007/10/29,261500,200000,128500,0,0,9
12,2007/10/30,329700,200000,155200,0,0,8
12,2007/10/31,256700,200000,100100,0,0,6
23,2007/10/1,0,180000,22000,0,0,1
23,2007/10/2,0,180000,120700,9000,1,6
23,2007/10/3,0,150000,281000,0,2,4
23,2007/10/4,0,150000,12000,0,0,1
23,2007/10/5,0,150000,108800,12000,0,3
23,2007/10/6,0,250000,64420,0,1,8
23,2007/10/7,0,300000,225800,0,3,8
23,2007/10/8,0,250000,50560,0,1,4
23,2007/10/9,0,180000,33800,0,1,2
23,2007/10/10,0,150000,292600,0,1,6
23,2007/10/11,0,150000,107000,59000,0,16
23,2007/10/12,0,150000,151840,0,1,6
23,2007/10/13,0,230000,204300,34800,1,5
23,2007/10/14,0,270000,101800,62000,2,2
23,2007/10/15,0,170000,176000,0,3,5
23,2007/10/16,0,170000,170400,0,2,5
23,2007/10/17,0,130000,213600,0,1,4
23,2007/10/18,0,130000,173600,0,2,5
23,2007/10/19,0,150000,130800,0,1,6
23,2007/10/20,0,230000,233400,57000,1,3
