id,日付,昨年実績,日割予算,売上実績,取置計,新規獲得顧客,客数
12,2008-03-01,304200,300000,300300,0,0,15
12,2008-03-02,368100,300000,265400,0,0,14
12,2008-03-03,214300,200000,213400,0,0,7
12,2008-03-04,215700,200000,223200,0,0,9
12,2008-03-05,112900,200000,140600,0,0,5
12,2008-03-06,228200,200000,200100,0,0,9
12,2008-03-07,153800,200000,247500,0,0,13
12,2008-03-08,350400,300000,161600,0,0,9
12,2008-03-09,311900,300000,249600,0,0,11
12,2008-03-10,187700,150000,80000,0,0,4
12,2008-03-11,105300,150000,109200,0,1,6
12,2008-03-12,150100,150000,198700,0,0,12
12,2008-03-13,85800,150000,145000,0,0,8
12,2008-03-14,204000,150000,82800,0,0,5
12,2008-03-15,242500,300000,220300,0,0,14
12,2008-03-16,338600,300000,206700,0,0,13
12,2008-03-17,120900,150000,60900,0,0,5
12,2008-03-18,129400,150000,117100,0,0,7
12,2008-03-19,114200,150000,326500,0,0,13
12,2008-03-20,1360700,250000,334000,0,0,11
12,2008-03-21,282300,150000,171400,0,0,13
12,2008-03-22,293000,300000,284600,0,0,12
12,2008-03-23,245700,300000,237800,0,0,17
12,2008-03-24,125600,150000,196800,0,0,11
12,2008-03-25,203900,150000,114900,0,2,7
12,2008-03-26,162900,150000,197300,0,0,10
12,2008-03-27,148200,150000,282600,0,0,18
12,2008-03-28,149500,150000,202600,0,0,10
12,2008-03-29,390800,300000,300000,0,0,24
12,2008-03-30,228200,300000,257600,0,0,14
12,2008-03-31,136600,150000,90300,0,0,5
23,2008-03-01,100100,400000,201000,0,0,6
23,2008-03-02,156000,200000,21000,62000,0,1
23,2008-03-03,186400,140000,108562,0,2,6
23,2008-03-04,309320,140000,152600,33800,1,2
23,2008-03-05,150780,130000,120000,0,0,1
23,2008-03-06,74560,130000,121880,45000,1,4
23,2008-03-07,110540,130000,58500,28000,1,2
23,2008-03-08,52000,240000,212800,47000,1,6
23,2008-03-09,127800,230000,167160,125000,0,7
23,2008-03-10,200300,140000,79540,0,4,5
23,2008-03-11,200960,140000,28000,0,1,1
23,2008-03-12,150560,130000,150800,0,0,4
23,2008-03-13,154340,130000,164800,0,0,4
23,2008-03-14,104000,130000,8960,0,1,1
23,2008-03-15,177600,240000,289040,57800,2,9
23,2008-03-16,102000,230000,178600,0,2,6
23,2008-03-17,100560,140000,146000,0,1,2
23,2008-03-18,41000,140000,151260,0,3,9
23,2008-03-19,66000,130000,2000,0,0,1
23,2008-03-20,158500,200000,43040,0,1,3
23,2008-03-21,77600,150000,144300,0,2,5
23,2008-03-22,200800,220000,88000,0,0,4
23,2008-03-23,101400,220000,164981,0,0,6
23,2008-03-24,102240,110000,35000,0,0,2
23,2008-03-25,67540,110000,49800,0,0,1
23,2008-03-26,155500,100000,5120,0,0,2
23,2008-03-27,150000,100000,44500,0,2,2
23,2008-03-28,151040,100000,87000,23000,1,5
23,2008-03-29,166800,600000,204800,70800,1,8
23,2008-03-30,200760,200000,99400,0,1,4
23,2008-03-31,77960,100000,72200,15000,2,5
14,2008-03-01,325300,300000,151300,0,0,15
14,2008-03-02,368800,300000,181000,0,0,15
14,2008-03-03,262100,200000,181000,0,0,15
14,2008-03-04,175900,200000,219200,0,0,16
14,2008-03-05,252300,200000,96200,0,0,8
14,2008-03-06,218400,200000,126600,0,0,10
14,2008-03-07,193700,200000,133500,12800,0,11
14,2008-03-08,370100,250000,173500,24000,1,13
14,2008-03-09,240600,250000,185500,0,1,19
14,2008-03-10,170700,200000,251100,0,1,13
14,2008-03-11,280500,200000,235300,0,0,10
14,2008-03-12,164000,200000,119300,0,2,8
14,2008-03-13,215600,200000,151300,0,0,10
14,2008-03-14,176300,200000,56900,600,0,6
14,2008-03-15,250600,250000,299800,0,0,18
14,2008-03-16,339100,250000,189200,39600,0,17
14,2008-03-17,202400,250000,166200,0,0,12
14,2008-03-18,319100,250000,278400,0,3,12
14,2008-03-19,397800,250000,118800,32300,1,10
14,2008-03-20,297500,250000,269100,20300,2,15
14,2008-03-21,153200,250000,39300,0,0,4
14,2008-03-22,252000,250000,363800,0,2,25
14,2008-03-23,316400,250000,161000,800,1,15
14,2008-03-24,201800,200000,176500,25000,0,10
14,2008-03-25,176000,200000,239900,0,1,16
14,2008-03-26,265800,200000,185100,8400,2,16
14,2008-03-27,220900,200000,115000,0,1,8
14,2008-03-28,233400,200000,134600,0,0,11
