ID,日付,昨年実績,日割予算,売上実績,取置,新規獲得顧客,客数
12,2008-05-01,56300,200000,217300,0,0,10
12,2008-05-02,121200,200000,131400,0,0,10
12,2008-05-03,318400,350000,181000,0,0,10
12,2008-05-04,174900,350000,187400,0,0,14
12,2008-05-05,233500,350000,287500,0,0,20
12,2008-05-06,152800,300000,148200,0,0,12
12,2008-05-07,225300,200000,88600,0,0,7
12,2008-05-08,182800,200000,102300,0,1,8
12,2008-05-09,182300,200000,153300,0,0,6
12,2008-05-10,252200,300000,140600,0,0,7
12,2008-05-11,193200,300000,141100,0,0,10
12,2008-05-12,267300,200000,91800,0,0,5
12,2008-05-13,211900,200000,70300,0,0,4
12,2008-05-14,248100,200000,96200,0,0,5
12,2008-05-15,127000,200000,106900,0,1,6
12,2008-05-16,150600,150000,110400,0,0,9
12,2008-05-17,229900,250000,200600,0,0,15
12,2008-05-18,209700,200000,224600,0,0,11
12,2008-05-19,103100,150000,81700,0,0,5
12,2008-05-20,209100,150000,84500,0,0,3
12,2008-05-21,255400,150000,89200,0,0,9
12,2008-05-22,172600,150000,80600,0,0,4
12,2008-05-23,200700,150000,99600,0,0,8
12,2008-05-24,411100,250000,169500,0,0,11
12,2008-05-25,374300,250000,210900,0,2,12
12,2008-05-26,150500,150000,153600,0,0,8
12,2008-05-27,146300,150000,179700,0,0,9
12,2008-05-28,207700,150000,143900,0,0,11
12,2008-05-29,200000,150000,99400,0,0,6
12,2008-05-30,82200,150000,108200,0,0,9
12,2008-05-31,234500,150000,174200,0,0,8
23,2008-05-01,100744,200000,63400,17000,2,4
23,2008-05-02,151760,200000,134400,16000,2,9
23,2008-05-03,351960,450000,227760,0,0,8
23,2008-05-04,125320,450000,147400,0,2,9
23,2008-05-05,235220,400000,216450,62000,2,9
23,2008-05-06,155520,300000,125240,41800,1,6
23,2008-05-07,316240,120000,14000,0,0,1
23,2008-05-08,164800,120000,33600,0,0,2
23,2008-05-09,195980,120000,153600,0,0,4
23,2008-05-10,150800,200000,246000,103600,0,4
23,2008-05-11,174440,200000,58000,0,2,2
23,2008-05-12,156340,140000,144280,71000,2,8
23,2008-05-13,109440,140000,144000,38000,0,4
23,2008-05-14,151200,120000,120180,0,0,5
23,2008-05-15,210340,120000,105300,48800,2,7
23,2008-05-16,169200,120000,56800,12000,1,3
23,2008-05-17,100000,230000,171600,29000,1,7
23,2008-05-18,100000,230000,367700,29000,3,9
23,2008-05-19,100360,140000,56660,11000,0,3
23,2008-05-20,262000,140000,66600,36800,0,2
23,2008-05-21,258648,120000,68800,0,1,3
23,2008-05-22,61880,120000,21240,38800,1,2
23,2008-05-23,103600,130000,142740,0,1,7
23,2008-05-24,154200,300000,200620,0,2,11
23,2008-05-25,101700,250000,378980,64800,4,19
23,2008-05-26,200080,150000,69200,0,0,2
23,2008-05-27,256200,150000,10160,0,1,3
23,2008-05-28,105200,130000,41800,0,0,2
23,2008-05-29,237800,130000,113040,41000,2,5
23,2008-05-30,101320,130000,41100,0,0,2
23,2008-05-31,210240,250000,65600,0,1,3
14,2008-05-01,266600,250000,149500,13900,0,11
14,2008-05-02,375200,250000,119200,0,0,10
14,2008-05-03,301200,350000,212900,48800,1,16
14,2008-05-04,356300,350000,302900,7700,1,22
14,2008-05-05,357500,350000,239400,0,0,19
14,2008-05-06,130100,250000,274800,0,0,23
14,2008-05-07,162600,150000,208000,20000,1,17
14,2008-05-08,154300,150000,147000,0,0,8
14,2008-05-09,110900,150000,116700,0,0,10
14,2008-05-10,306400,300000,225200,0,1,15
14,2008-05-11,304100,300000,134900,0,0,12
14,2008-05-12,170900,200000,116800,0,0,7
14,2008-05-13,163300,200000,227600,13800,1,12
14,2008-05-14,129200,200000,133800,0,1,9
14,2008-05-15,200100,200000,87100,12800,0,6
14,2008-05-16,322400,200000,171000,12800,1,12
14,2008-05-17,271700,300000,212700,0,0,13
14,2008-05-18,295800,250000,120900,0,0,9
14,2008-05-19,165600,180000,125800,0,0,6
14,2008-05-20,206000,180000,129100,0,0,10
14,2008-05-21,201300,180000,128000,12800,0,11
14,2008-05-22,106900,180000,124700,1200,1,10
14,2008-05-23,226500,180000,283900,0,0,27
14,2008-05-24,460300,350000,359000,0,2,28
14,2008-05-25,350800,300000,473500,0,3,33
14,2008-05-26,256000,250000,290700,57000,0,24
14,2008-05-27,218000,250000,142400,0,0,6
14,2008-05-28,204700,250000,138900,0,1,12
14,2008-05-29,201700,250000,100300,0,0,7
14,2008-05-30,156600,250000,181000,10200,1,15
14,2008-05-31,167300,300000,159500,0,1,12
15,2008-05-01,255400,300000,273200,0,1,16
15,2008-05-02,333000,300000,247700,0,1,17
15,2008-05-03,735100,500000,313900,0,0,24
15,2008-05-04,527100,450000,436600,0,0,22
15,2008-05-05,508300,450000,442000,0,0,25
15,2008-05-06,326500,350000,301500,8900,0,20
