店舗名,日付,昨年実績                          ,日割予算,売上実績,取置計,顧客計,客数計
1,2008-6-1,426200,300000,409400,0,1,11
1,2008-6-2,380800,200000,284700,140900,0,8
1,2008-6-3,208900,200000,99000,30000,0,4
1,2008-6-4,277000,200000,164000,54000,0,4
1,2008-6-5,59000,200000,223400,0,1,5
1,2008-6-6,224000,200000,174850,84000,0,6
1,2008-6-7,192500,300000,431700,38000,0,14
1,2008-6-8,310900,300000,503900,0,0,9
1,2008-6-9,303700,200000,209900,41800,0,6
1,2008-6-10,324000,200000,312900,80000,0,8
1,2008-6-11,303200,200000,121900,19000,0,5
1,2008-6-12,327800,200000,159800,45800,0,5
1,2008-6-13,131100,350000,455300,18000,0,18
1,2008-6-14,419800,900000,1242500,3000,0,29
1,2008-6-15,372900,650000,660000,19000,0,11
1,2008-6-16,947000,450000,513300,19000,0,15
1,2008-6-17,289100,400000,363900,61000,0,11
1,2008-6-18,173700,400000,575400,45800,1,17
1,2008-6-19,504800,400000,352100,0,0,10
1,2008-6-20,498650,400000,394500,0,0,11
1,2008-6-21,367200,800000,729500,0,0,23
1,2008-6-22,323100,600000,762200,0,0,15
1,2008-6-23,899600,400000,455300,0,0,12
1,2008-6-24,530000,400000,299700,0,0,11
1,2008-6-25,441600,400000,375900,0,0,13
1,2008-6-26,527900,400000,292500,16000,0,9
1,2008-6-27,368300,400000,276000,38000,0,9
1,2008-6-28,211000,400000,431400,111000,0,12
1,2008-6-29,229500,400000,299600,0,0,9
1,2008-6-30,2218600,150000,302100,0,0,10
2,2008-6-1,273900,250000,275300,0,2,12
2,2008-6-2,147600,160000,154000,84000,0,6
2,2008-6-3,275800,160000,96000,0,0,5
2,2008-6-4,174500,160000,154300,34000,0,7
2,2008-6-5,197600,160000,29000,0,0,1
2,2008-6-6,179600,160000,112000,0,1,4
2,2008-6-7,87000,200000,85000,0,0,4
2,2008-6-8,56400,200000,165500,0,1,6
2,2008-6-9,147900,130000,288900,0,0,6
2,2008-6-10,171900,130000,79000,0,0,4
2,2008-6-11,145700,130000,121700,61000,0,8
2,2008-6-12,23300,130000,249000,0,1,2
2,2008-6-13,256400,100000,331000,0,0,6
2,2008-6-14,46400,700000,891600,0,0,15
2,2008-6-15,152200,500000,244100,9000,0,9
2,2008-6-16,452750,250000,119400,0,0,5
2,2008-6-17,193700,250000,122500,0,0,6
2,2008-6-18,283700,250000,184900,0,0,6
2,2008-6-19,209000,230000,137400,0,0,3
2,2008-6-20,117100,230000,135000,0,0,5
2,2008-6-21,20700,600000,412300,0,0,9
2,2008-6-22,118000,400000,286700,244800,0,7
2,2008-6-23,965000,200000,133500,0,0,3
2,2008-6-24,195000,200000,369200,0,0,10
2,2008-6-25,119100,250000,491700,0,0,9
2,2008-6-26,177000,250000,279800,0,0,4
2,2008-6-27,191000,200000,72600,0,0,3
2,2008-6-28,94800,150000,93900,0,0,5
2,2008-6-29,135800,150000,112600,0,0,4
2,2008-6-30,414800,120000,93900,0,0,2
3,2008-6-1,0,150000,110000,0,1,5
3,2008-6-2,0,150000,11000,0,0,1
3,2008-6-3,0,150000,125000,0,1,3
3,2008-6-4,0,150000,144000,51900,0,3
3,2008-6-5,0,150000,165000,0,0,2
3,2008-6-6,0,150000,201800,0,0,6
3,2008-6-7,0,200000,144000,0,0,6
3,2008-6-8,0,200000,185300,0,4,5
3,2008-6-9,0,100000,127900,0,0,3
3,2008-6-10,0,100000,91900,0,1,2
3,2008-6-11,0,100000,178000,0,2,3
3,2008-6-12,0,100000,63800,0,0,4
3,2008-6-13,0,100000,118000,0,1,5
3,2008-6-14,0,250000,141400,0,2,7
3,2008-6-15,0,250000,167040,0,2,7
3,2008-6-16,0,150000,103500,0,2,4
3,2008-6-17,0,150000,91800,0,1,6
3,2008-6-18,0,150000,146600,94600,1,5
3,2008-6-19,0,150000,98360,0,1,3
3,2008-6-20,0,150000,73600,0,0,3
3,2008-6-21,0,150000,142300,0,2,5
3,2008-6-22,0,150000,172500,0,1,3
3,2008-6-23,0,1000000,738200,0,0,2
3,2008-6-24,0,100000,226600,0,0,5
3,2008-6-25,0,100000,20700,0,1,2
3,2008-6-26,0,100000,320900,0,1,5
3,2008-6-27,0,100000,231000,0,1,6
3,2008-6-28,0,100000,258400,0,1,6
3,2008-6-29,0,100000,253700,0,2,7
3,2008-6-30,0,50000,148200,0,3,7
4,2008-6-1,219100,200000,177900,161000,1,12
4,2008-6-2,263800,150000,97500,0,1,3
4,2008-6-3,155800,150000,108000,0,0,4
4,2008-6-4,91800,150000,216500,28000,3,6
4,2008-6-5,18400,150000,159800,42000,1,3
4,2008-6-6,147000,150000,155000,0,1,8
4,2008-6-7,191900,250000,215000,0,0,5
4,2008-6-8,62900,200000,52000,0,0,2
4,2008-6-9,272600,100000,59900,0,0,2
4,2008-6-10,155900,100000,288000,23900,1,10
4,2008-6-11,68000,100000,87000,101900,1,3
4,2008-6-12,86000,100000,58000,0,0,2
4,2008-6-13,43000,100000,70000,0,0,1
4,2008-6-14,36000,450000,582300,0,2,12
4,2008-6-15,23300,350000,508400,0,1,10
4,2008-6-16,456900,220000,210300,0,0,6
4,2008-6-17,365200,220000,86800,0,0,2
4,2008-6-18,148700,220000,271700,14900,1,6
4,2008-6-19,194100,220000,40500,0,0,3
4,2008-6-20,122000,220000,107000,0,1,5
4,2008-6-21,291250,500000,251700,0,2,10
4,2008-6-22,287900,400000,76700,0,0,4
