店舗ID,日付,昨年実績,日割予算,売上実績,取置計,顧客計,客数計
12,2008/7/1,142500,200000,144600,0,0,18
12,2008/7/2,201300,200000,248800,0,0,23
12,2008/7/3,180500,200000,138800,0,0,9
12,2008/7/4,351300,200000,225100,0,4,18
12,2008/7/5,294500,450000,206300,0,0,25
12,2008/7/6,609200,450000,229100,0,0,21
12,2008/7/7,176300,200000,163500,0,0,19
12,2008/7/8,192800,200000,125500,0,1,14
12,2008/7/9,213600,200000,117400,0,0,11
12,2008/7/10,132700,200000,205000,0,0,11
12,2008/7/11,167400,200000,207200,0,0,16
12,2008/7/12,157600,400000,407800,0,0,36
12,2008/7/13,301200,400000,282200,0,0,26
12,2008/7/14,353000,200000,117700,0,0,14
12,2008/7/15,172500,200000,119700,0,0,9
12,2008/7/16,150000,200000,144400,0,0,15
12,2008/7/17,102900,200000,100000,0,0,11
12,2008/7/18,125500,200000,132500,0,0,16
12,2008/7/19,246000,400000,246600,0,0,27
12,2008/7/20,272300,400000,252300,0,0,28
12,2008/7/21,131700,400000,290000,0,0,30
12,2008/7/22,116900,200000,152900,0,0,15
12,2008/7/23,255600,200000,123300,0,0,15
12,2008/7/24,125100,200000,187700,0,0,21
12,2008/7/25,102100,200000,115800,0,2,14
12,2008/7/26,261600,350000,200700,0,0,21
12,2008/7/27,474300,350000,228500,0,0,15
12,2008/7/28,255800,200000,73500,0,0,9
12,2008/7/29,111800,200000,103800,0,0,13
12,2008/7/30,269600,200000,70800,0,0,10
12,2008/7/31,260300,200000,100900,0,0,14
23,2008/7/1,764840,180000,200680,0,1,12
23,2008/7/2,204200,160000,62000,14000,1,5
23,2008/7/3,205340,160000,81560,0,2,9
23,2008/7/4,151510,160000,50600,0,1,9
23,2008/7/5,166040,350000,386420,0,4,17
23,2008/7/6,152260,250000,141240,0,1,11
23,2008/7/7,311150,180000,31900,0,1,5
23,2008/7/8,300510,180000,82460,18800,1,7
23,2008/7/9,169000,160000,75210,0,1,5
23,2008/7/10,79760,160000,128000,0,0,3
23,2008/7/11,132410,170000,119400,0,0,3
23,2008/7/12,127700,300000,99460,0,1,7
23,2008/7/13,102240,300000,133060,0,1,9
23,2008/7/14,101040,170000,52300,19600,1,6
23,2008/7/15,250300,170000,53060,0,2,6
23,2008/7/16,251500,150000,41600,40000,0,4
23,2008/7/17,118860,150000,53200,0,0,4
23,2008/7/18,121100,150000,127900,0,2,6
23,2008/7/19,140640,600000,146780,11000,2,7
23,2008/7/20,222720,450000,392840,23000,2,11
23,2008/7/21,226650,300000,69100,29800,0,4
23,2008/7/22,352220,180000,87300,0,0,3
23,2008/7/23,204600,150000,21000,0,0,2
23,2008/7/24,151260,150000,13120,0,0,2
23,2008/7/25,159800,200000,64800,0,1,3
23,2008/7/26,111300,400000,53040,0,0,4
23,2008/7/27,109300,350000,235940,0,0,6
23,2008/7/28,451940,200000,29000,0,0,2
23,2008/7/29,251100,200000,15000,0,0,2
23,2008/7/30,163700,160000,47800,29800,0,1
23,2008/7/31,273700,160000,110560,0,3,4
14,2008/7/1,505700,450000,226900,26800,2,21
14,2008/7/2,374700,450000,284900,0,1,24
14,2008/7/3,863600,850000,902600,0,1,77
14,2008/7/4,709000,700000,520400,0,1,47
14,2008/7/5,611900,650000,812800,0,1,64
14,2008/7/6,615200,600000,582400,0,0,59
14,2008/7/7,313400,400000,271700,0,0,31
14,2008/7/8,410900,400000,223100,0,1,26
14,2008/7/9,371800,400000,263600,0,0,27
14,2008/7/10,245200,400000,185600,0,0,18
14,2008/7/11,267700,400000,205700,0,0,21
14,2008/7/12,412500,400000,300900,0,0,32
14,2008/7/13,328900,350000,255300,0,0,26
14,2008/7/14,481000,250000,174700,0,0,21
14,2008/7/15,202000,250000,167100,0,0,18
14,2008/7/16,150000,250000,257200,0,0,22
14,2008/7/17,191400,250000,186700,0,0,17
14,2008/7/18,174000,250000,111200,0,1,11
14,2008/7/19,333700,250000,228400,0,0,24
14,2008/7/20,257200,250000,195200,0,0,17
14,2008/7/21,148000,200000,205400,0,0,22
14,2008/7/22,183800,200000,144900,0,0,14
14,2008/7/23,141300,200000,193200,41800,0,17
14,2008/7/24,201800,200000,222600,0,0,19
14,2008/7/25,282800,200000,151100,22800,1,16
14,2008/7/26,208400,250000,188400,0,1,18
14,2008/7/27,286500,250000,229400,0,0,29
14,2008/7/28,119800,200000,182300,0,1,16
14,2008/7/29,268600,200000,238800,0,0,17
14,2008/7/30,244500,200000,162200,0,0,17
14,2008/7/31,264500,200000,150300,0,1,10
15,2008/7/1,807400,600000,525700,0,0,42
15,2008/7/2,624400,600000,439600,0,0,32
15,2008/7/3,718900,700000,334400,0,0,25
15,2008/7/4,620200,700000,513300,0,0,35
15,2008/7/5,1363000,1150000,789900,0,0,61
15,2008/7/6,856200,950000,471900,0,0,40
15,2008/7/7,606000,500000,268600,0,0,26
15,2008/7/8,405500,500000,400900,0,0,30
15,2008/7/9,394700,500000,370400,0,0,31
15,2008/7/10,611700,500000,337500,0,0,29
15,2008/7/11,478000,500000,288400,0,0,25
15,2008/7/12,489900,550000,557800,0,0,38
15,2008/7/13,405300,500000,418000,0,0,31
15,2008/7/14,211000,350000,156700,0,0,16
15,2008/7/15,334200,350000,381700,0,0,34
15,2008/7/16,400100,350000,329300,0,0,30
15,2008/7/17,406100,350000,349900,0,0,26
15,2008/7/18,374400,350000,269000,0,0,22
15,2008/7/19,354300,650000,517800,0,0,55
15,2008/7/20,533300,600000,502500,0,0,50
15,2008/7/21,508200,550000,509700,0,0,44
15,2008/7/22,305800,300000,283900,0,0,28
15,2008/7/23,386600,300000,201200,0,0,18
15,2008/7/24,334800,300000,255800,0,0,26
15,2008/7/25,343700,300000,296100,19600,0,27
15,2008/7/26,451000,550000,611800,0,0,45
15,2008/7/27,360600,550000,328700,0,0,30
15,2008/7/28,303500,350000,239900,0,0,25
15,2008/7/29,351500,350000,216900,0,0,24
15,2008/7/30,353700,350000,262300,0,0,21
15,2008/7/31,370300,350000,163000,0,0,16
17,2008/7/1,1572200,650000,747600,0,0,59
17,2008/7/2,869000,600000,528400,0,0,49
17,2008/7/3,703200,600000,630285,0,0,54
17,2008/7/4,703600,750000,760100,0,0,56
17,2008/7/5,1077100,900000,1071000,0,0,77
17,2008/7/6,830700,850000,902000,0,0,76
17,2008/7/7,618500,500000,408600,0,0,39
17,2008/7/8,644500,450000,450200,0,0,41
17,2008/7/9,479700,450000,384200,0,0,33
17,2008/7/10,483200,400000,361400,0,0,32
17,2008/7/11,471400,400000,385900,0,0,34
17,2008/7/12,402300,500000,675500,0,0,52
17,2008/7/13,405100,500000,830100,0,0,59
17,2008/7/14,350000,350000,340500,0,0,23
17,2008/7/15,373200,350000,379000,0,0,28
17,2008/7/16,250100,350000,303200,0,0,25
17,2008/7/17,385300,350000,329000,0,0,26
17,2008/7/18,546000,350000,315900,0,1,26
17,2008/7/19,639200,600000,416400,0,0,29
17,2008/7/20,658800,600000,595800,18700,0,43
17,2008/7/21,594800,550000,445400,0,0,25
17,2008/7/22,351300,300000,340400,0,0,23
17,2008/7/23,183100,300000,337000,0,1,24
17,2008/7/24,317200,300000,311100,0,0,21
17,2008/7/25,221200,300000,256800,0,0,21
17,2008/7/26,432900,500000,401800,0,0,28
17,2008/7/27,465100,500000,461300,9800,0,30
17,2008/7/28,357600,350000,232600,0,0,18
17,2008/7/29,350000,300000,326600,34100,1,26
