AW08ÇÃéûì_Ç≈ÇÃéÊà¯èÛãµ	ç≈êVéÊà¯ÉVÅ[ÉYÉì	OBICä«óùÇÃÉuÉâÉìÉhó™èÃ	OBICä«óùÇÃÉuÉâÉìÉhCode	éÊçûópÉuÉâÉìÉhCode	BrandñºèÃ	Brand èZèä	Brand ìsés	Brand óXï÷î‘çÜ	Brand çëñº	Brand çëcd	tel	fax	Mobile	íSìñé“	íSìñé“EMAIL	âÔé–ñº	Shipperñº	Shipper çëñº	Shipper çëcd	í â›	éxï•èåèÅiBulkÅj	éxï•èåècd	DiscountÅiBulkÅj	Discount ä‹ÇﬁÅEä‹Ç‹Ç»Ç¢	éxï•èåè îıçl	éxï•Ç¢ó\íËã‡äzéZèoï˚ñ@			éxï•èåèÅiSampleÅj	éxï•èåècd	DiscountÅiBulkÅj	Discount ä‹ÇﬁÅEä‹Ç‹Ç»Ç¢																âﬂãéÇÃèÓïÒ		
up	Last Season	ó™èÃ	CODE	CODE	Brand	Address	City	Postal code	Country (brand)	Country code (brand)	Tel	Fax	Mobile	PIC	email	Company	Shipper	Country (shipper)	Country code (shipper)	CUR	New Payment terms (bulk)	Pay Term CD	Disc (Bulk)	Included / Excluded	Payment (note) éxï•Ç¢èåèÇÃîıçlÇ∆ÇµÇƒì¸ÇÍÇƒÇ≠ÇæÇ≥Ç¢ÅB	From	Days	%	New Payment terms (sample)	Pay Term CD	Disc (Sample)	Included / Excluded	ITEM	Division 1	Division 2	Division 3	Division 4	Division 5	Division 6	ã∆ñ±íSìñ	ã∆ñ±íSìñ cd	HP Contact ÅiInstructionsÇ…ï\é¶Ç≥ÇπÇÈñºëOÅj	HP Contact cd	HP Contact  e-mail	Contact (company)	hp tel	hp fax	ID	Payment(Bulk)	Payment(Sample)
continue		PAD	117	117	32Paradis	32 rue de Paradis	Paris	75010	FRANCE	FRA	33.(0)1.42.46.76.22	33.(0)1.42.47.05.74		Alexandre	contact@sprung-freres.com	SPRUNG FRERES		FRANCE	FRA	EUR	30% at proforma invoice 70% after shipment date	36	0.00%	excluded		ETD	10	70				excluded	RTW	Theatre						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1493	30% Proforma 70% after delivery	*
continue		KOJI	563	563	332 BY KOJI	"332, Rue Saint Honore"	Paris	75001	FRANCE	FRA	33.(0)1.42.60.76.77	33.(0)1.42.60.76.17		Catheline Klein	c.klein@michel_klein.com	SAS M & E	SAS M & E	FRANCE	FRA	EUR	30% at proforma invoice 70% after shipment date	36	0.00%	excluded		ETD	10	70				excluded	RTW	H.P.FRANCE exclusive						exclusiveè¨ë∫Ç≥ÇÒ	000071	Miwa Omura	000071	miwa_omura@hpgrp.com	H.P.FRANCE S.A.	+81 3 5540 5091	+81 3 5778 2160	1467	30% on proforma 70% on delivery	*
*	AW07			2112	A.F.VANDEVORST	"Indienstraat 8,"	Antwerpen	2000	BELGIUM	BEL	32.(0)3.201.30.90	32.(0)3.231.80.79		Saar		BLIXA BVBA	BLIXA BVBA	BELGIUM	BEL	EUR	50% at proforma invoice 50% before shipment date	50	0.00%	excluded		*	*	0				excluded	RTW	Showroom Antenna						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1267	50% deposit /50% before last delivery	*
*	SS07			2113	A.L.E.X	6 Rue Francois 1er	Paris	75008	FRANCE	FRA	33.(0)1.42.25.30.80	33.(0)1.42.25.30.80	33.(0)6.22.68.02.57	Alexandra Delloye	alexandradelloye3@hotmail.com	ALEXANDRA DELLOYE	ALEXANDRA DELLOYE	FRANCE	FRA	EUR	30% at proforma invoice 70% 30days after shipment date	31	3.00%	excluded		ETD	30	70	100% with main order's payment	16	3.00%	excluded	RTW	Lamp						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	887	30%proforma/70% 30days after delivery date	100% with deposit
continue				2114	ABC	2791 Chemin de St Bernard BP 325	 Vallauris	06225	FRANCE	FRA	33.(0)4.93.95.84.84	33.(0)4.93.95.84.85		Feroz YARZADA	France@abc-oriental.com	ABC		FRANCE	FRA	EUR	100% after shipment date 	13	0.00%	excluded		ETD	10	100			0.00%	excluded	LEATHER	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1072	PAID BY HP PARIS	*
continue		AT	127	127	Abraham & Thakore	C-21 Sector 4	Noida U.P	201301	INDIA	IND	91 120 2519583	91 120 2519578			sales@abrahamandthakore.com	ABRAHAM THAKORE EXPORTS PVT.LTD		INDIA	IND	EUR	100% 15days after receiving goods 	4	0.00%	excluded		î¿ì¸ì˙	15	100				excluded	DECO	H.P.FRANCE exclusive						exclusiveè¨ë∫Ç≥ÇÒ	000071	Miwa Omura	000071	miwa_omura@hpgrp.com	H.P.FRANCE S.A.	+81 3 5540 5091	+81 3 5778 2160	1401	15days after receiving goods	*
continue				2078	ADD	Greifswolderstrasse 29	Berlin	10405	GERMANY	DEU	49.(0)30.94880477	49.(0)30.94880477		Wibke	info@add-contact.com	ADD	ADD	GERMANY	DEU	EUR	100% after shipment date 	13	10.00%	excluded		ETD	10	100				excluded	RTW	WUT						Yann Le Goec	sample06	Yann Le Goec	sample06	yann_le_goec@hpgrp.com	H.P.FRANCE S.A.	+81 3 5489 0771	+81 3 5489 0772	1253	10 days after delivery	*
*	SS08	BORN	303	303	B.O.R.N	Tongersestraat 33	LM. M'Tricht 	6211	NETHERLANDS	NLD		043.325.1925		Chequita		ADORNMENT by CHEQUITA NAHAR	CHEQUITA NAHAR	NETHERLANDS	NLD	EUR	100% after checking goods 	11	0.00%	excluded		ETD	10	100				excluded	ACC	Kioku	H.P.FRANCE BOUTIQUE					EUã∆ñ±ïîóÈñÿÇ≥ÇÒ	000115	Eriko Suzuki	000115	eriko_suzuki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1129	100% After checking Goods	*
continue				2115	ALAIN VILLECHANGE	60 Rue Gaston Laurian	Montreuil	93100	FRANCE	FRA		33.(0)1.43.61.73.52	33.(0)6.86.93.98.26		alain@villechange.org	ALAIN VILLECHANGE		FRANCE	FRA	EUR	100% at proforma invoice 	14	0.00%	excluded		*	*	0				excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1491	100% on Proforma	*
