ID,日付,昨年実績,日割予算,売上実績,取置計,顧客計,客数計
12,2008-02-01,100200,200000,251900,0,0,13
12,2008-02-02,342800,300000,325600,0,0,26
12,2008-02-03,268900,300000,166900,0,0,14
12,2008-02-04,257200,200000,159400,0,0,11
12,2008-02-05,152300,200000,109700,0,0,9
12,2008-02-06,200600,200000,206100,0,0,15
12,2008-02-07,119800,200000,200200,0,0,14
12,2008-02-08,142900,200000,156800,0,0,11
12,2008-02-09,291100,300000,114300,0,0,9
12,2008-02-10,251300,300000,152100,0,0,17
12,2008-02-11,295300,300000,159200,0,0,16
12,2008-02-12,129200,200000,169300,0,0,13
12,2008-02-13,152200,200000,109800,0,0,8
12,2008-02-14,164700,200000,133800,0,0,11
12,2008-02-15,104400,150000,121300,0,1,8
12,2008-02-16,267100,300000,212900,0,0,13
12,2008-02-17,432100,300000,164800,0,1,12
12,2008-02-18,174700,150000,81800,0,0,6
12,2008-02-19,0,0,0,0,0,0
12,2008-02-20,144100,150000,115600,0,2,12
12,2008-02-21,227200,150000,142900,0,0,10
12,2008-02-22,226500,150000,227200,0,0,8
12,2008-02-23,237000,300000,201300,0,0,14
12,2008-02-24,471500,300000,259400,0,0,13
12,2008-02-25,172400,150000,150400,0,0,5
12,2008-02-26,236600,150000,171500,0,0,6
12,2008-02-27,221800,150000,168000,16800,0,10
12,2008-02-28,152900,150000,93100,0,0,5
12,2008-02-29,0,150000,150100,0,0,9
23,2008-02-01,0,120000,137500,0,2,6
23,2008-02-02,0,220000,33440,18000,1,3
23,2008-02-03,0,230000,35000,0,0,2
23,2008-02-04,0,150000,51040,0,0,4
23,2008-02-05,0,150000,82810,0,0,4
23,2008-02-06,0,120000,12160,0,0,3
23,2008-02-07,0,120000,74000,0,1,2
23,2008-02-08,0,120000,14800,0,2,2
23,2008-02-09,0,400000,102720,0,0,3
23,2008-02-10,0,300000,256960,0,3,6
23,2008-02-11,0,250000,128800,0,1,4
23,2008-02-12,0,150000,75200,0,1,5
23,2008-02-13,0,120000,168400,0,1,4
23,2008-02-14,0,120000,98800,59000,0,3
23,2008-02-15,0,150000,179000,0,0,5
23,2008-02-16,0,250000,59000,17000,1,2
23,2008-02-17,292440,300000,115300,0,0,6
23,2008-02-18,301000,140000,145200,24000,0,3
23,2008-02-19,102600,130000,148900,0,1,5
23,2008-02-20,208200,100000,73000,0,0,3
23,2008-02-21,268000,100000,60280,0,1,4
23,2008-02-22,101440,100000,61500,0,1,4
23,2008-02-23,202200,230000,96600,16000,2,5
23,2008-02-24,206400,220000,125400,17000,1,4
23,2008-02-25,172760,150000,55500,0,0,2
23,2008-02-26,151300,150000,96000,0,0,1
23,2008-02-27,119700,130000,151800,120000,2,4
23,2008-02-28,151460,130000,71000,107600,1,3
23,2008-02-29,0,150000,67000,0,1,1
14,2008-02-01,157100,200000,134600,0,1,19
14,2008-02-02,216700,250000,251400,0,0,28
14,2008-02-03,102700,250000,110500,0,1,13
14,2008-02-04,208600,230000,104100,7900,1,12
14,2008-02-05,201900,230000,175800,0,0,18
14,2008-02-06,316700,230000,214600,20900,1,21
14,2008-02-07,149400,230000,142200,0,0,14
14,2008-02-08,204800,230000,262300,0,0,24
14,2008-02-09,205700,340000,209600,0,2,24
14,2008-02-10,183600,340000,147100,0,1,14
14,2008-02-11,130300,250000,178600,18700,0,20
14,2008-02-12,282800,230000,158100,0,0,11
14,2008-02-13,206000,230000,230000,0,0,20
14,2008-02-14,129400,230000,111000,13800,0,11
14,2008-02-15,145800,230000,176000,0,3,15
14,2008-02-16,371400,350000,175000,0,1,18
14,2008-02-17,266800,350000,349100,0,0,24
14,2008-02-18,180600,250000,166100,22900,0,11
14,2008-02-19,151500,250000,241800,0,0,17
14,2008-02-20,109500,250000,150600,0,1,11
14,2008-02-21,294900,250000,153000,0,0,10
14,2008-02-22,328900,250000,136600,0,1,9
14,2008-02-23,281300,350000,316200,0,1,22
14,2008-02-24,251400,350000,166100,0,0,11
14,2008-02-25,277700,230000,198800,0,0,14
14,2008-02-26,193400,230000,239400,0,1,12
14,2008-02-27,300900,230000,101100,0,0,11
14,2008-02-28,205800,230000,281200,50600,1,17
14,2008-02-29,0,230000,234000,0,0,10
15,2008-02-01,288100,300000,355600,0,0,31
15,2008-02-02,451900,450000,412900,0,0,43
15,2008-02-03,404400,400000,271700,0,1,22
15,2008-02-04,223500,300000,291900,0,0,20
15,2008-02-05,302800,300000,221600,0,0,16
15,2008-02-06,279100,300000,256400,0,0,20
15,2008-02-07,214200,300000,254400,0,0,24
15,2008-02-08,264900,300000,311200,0,1,20
15,2008-02-09,577500,600000,300900,0,0,15
15,2008-02-10,459700,550000,381900,0,1,25
15,2008-02-11,543700,500000,325200,0,0,26
15,2008-02-12,521700,300000,153500,0,0,13
15,2008-02-13,212300,300000,92700,0,0,14
15,2008-02-14,288900,300000,86900,0,0,7
15,2008-02-15,263500,300000,172300,0,0,14
15,2008-02-16,415500,500000,344700,0,0,27
15,2008-02-17,512800,450000,379600,0,0,24
15,2008-02-18,209100,200000,111800,23800,0,10
15,2008-02-19,0,0,0,0,0,0
15,2008-02-20,305600,350000,304800,20600,0,23
15,2008-02-21,267400,350000,257900,0,0,17
15,2008-02-22,422200,350000,300100,0,0,21
15,2008-02-23,405600,550000,348600,0,0,23
