店舗名,日付,昨年実績,予算,売上,取置き,新規,客数
8,2007-10-01,109100,380000,214512,17000,1,18
8,2007-10-02,304551,380000,183058,300000,1,14
8,2007-10-03,198158,380000,347784,297000,1,14
8,2007-10-04,490290,380000,228900,180000,0,12
8,2007-10-05,375080,380000,301724,76000,2,13
8,2007-10-06,264350,430000,259200,54000,0,17
8,2007-10-07,241460,440000,718420,0,1,31
8,2007-10-08,711600,420000,482510,0,0,24
8,2007-10-09,430700,380000,259070,50000,1,20
8,2007-10-10,372792,380000,437972,201200,2,17
8,2007-10-11,566434,380000,502516,92000,2,19
8,2007-10-12,194360,380000,561760,322000,2,18
8,2007-10-13,293250,450000,441150,316000,0,25
8,2007-10-14,388350,450000,414350,28000,1,21
8,2007-10-15,160300,380000,1091550,440000,1,18
8,2007-10-16,500043,380000,150450,55000,1,15
8,2007-10-17,258580,380000,382850,96000,0,18
8,2007-10-18,235430,380000,236940,92000,1,12
8,2007-10-19,173870,380000,371580,22000,1,25
8,2007-10-20,108010,440000,249140,174000,1,17
8,2007-10-21,263040,440000,252400,64000,3,20
8,2007-10-22,68765,380000,294100,109000,0,20
8,2007-10-23,225360,380000,317810,24660,1,21
8,2007-10-24,220931,380000,327999,30800,0,14
8,2007-10-25,496354,400000,610350,0,0,7
8,2007-10-26,312210,400000,189300,71040,0,20
8,2007-10-27,620050,480000,227350,227200,0,12
8,2007-10-28,522200,480000,289560,0,3,25
8,2007-10-29,114120,410000,358680,0,0,18
8,2007-10-30,520380,400000,417070,89200,1,12
8,2007-10-31,344300,400000,604440,95000,0,30
8,2008-02-01,367190,780000,205500,15000,0,16
8,2008-02-02,682525,960000,323300,0,0,18
8,2008-02-03,645710,960000,342300,1260,0,13
8,2008-02-04,288310,800000,311540,1200,1,20
8,2008-02-05,308600,800000,362300,35000,0,18
8,2008-02-06,273567,800000,439192,18000,0,19
8,2008-02-07,406042,800000,842220,378420,3,27
8,2008-02-08,550810,810000,747500,0,1,25
8,2008-02-09,245000,1000000,296550,0,0,19
8,2008-02-10,390880,1010000,614390,0,0,30
8,2008-02-11,162300,900000,575860,0,1,40
8,2008-02-12,873930,810000,630060,0,1,17
8,2008-02-13,694350,810000,427910,105500,1,20
8,2008-02-14,363294,810000,328050,37300,1,28
8,2008-02-15,2214680,810000,389240,240000,1,26
8,2008-02-16,377400,1010000,608890,18000,1,0
8,2008-02-17,1355330,1010000,294550,30000,1,25
8,2008-02-18,407880,810000,389520,0,0,22
8,2008-02-19,1262350,810000,260608,174000,1,18
8,2008-02-20,821140,810000,672500,147300,1,18
8,2008-02-21,492418,810000,396320,189000,0,20
8,2008-02-22,2150550,810000,460548,135200,0,18
8,2008-02-23,757762,1010000,501740,0,0,18
8,2008-02-24,848900,1010000,272650,567000,1,20
8,2008-02-25,510200,810000,334600,300000,0,16
8,2008-02-26,127500,810000,595800,0,1,18
8,2008-02-27,765168,590000,128970,78400,0,13
8,2008-02-28,747150,810000,1008217,9000,2,20
8,2008-02-29,0,810000,229924,54000,1,25
8,2008-04-01,506750,410000,233100,99500,0,22
8,2008-04-02,239741,410000,543460,0,1,32
8,2008-04-03,817048,410000,414750,88000,1,2
8,2008-04-04,83246,410000,406836,0,2,26
8,2008-04-05,529850,460000,176720,18800,0,27
8,2008-04-06,190622,460000,398550,182000,2,26
8,2008-04-07,516100,410000,171780,0,0,14
8,2008-04-08,523660,410000,348000,0,1,10
8,2008-04-09,212500,410000,127406,0,1,16
8,2008-04-10,897200,410000,727820,24000,0,20
8,2008-04-11,271531,410000,312260,25000,1,28
8,2008-04-12,787087,460000,566990,63500,2,33
8,2008-04-13,615550,460000,467320,211000,1,15
8,2008-04-14,86900,410000,122773,145000,0,11
8,2008-04-15,444910,410000,297060,0,1,18
8,2008-04-16,442450,410000,511252,3200,0,25
8,2008-04-17,419240,410000,420980,0,1,22
8,2008-04-18,316272,410000,311340,156000,0,10
8,2008-04-19,299480,460000,392100,180000,21,31
8,2008-04-20,228550,460000,1019836,65000,1,29
8,2008-04-21,306650,410000,419736,95000,0,20
8,2008-04-22,286880,410000,622500,84000,1,16
8,2008-04-23,133530,410000,397950,150000,0,15
8,2008-04-24,311350,410000,233900,272000,0,18
8,2008-04-25,344838,410000,1114085,80000,2,43
8,2008-04-26,795648,470000,366300,20000,1,19
8,2008-04-27,498550,470000,591200,68000,2,29
8,2008-04-28,54020,440000,532240,7800,0,28
8,2008-04-29,693836,440000,731250,225000,2,42
8,2008-04-30,433580,430000,637674,9500,4,35
