ID,日付,売上実績,取置計,顧客計,客数計
12,2008-08-01,101500,0,0,12
12,2008-08-02,135900,0,0,14
12,2008-08-03,164800,0,0,17
12,2008-08-04,108800,0,0,15
12,2008-08-05,67200,0,0,8
12,2008-08-06,119100,0,0,12
23,2008-08-01,36700,0,3,3
23,2008-08-02,155600,88000,0,2
23,2008-08-03,109840,38000,1,5
23,2008-08-04,17200,0,0,2
23,2008-08-05,19000,0,0,2
23,2008-08-06,81000,0,0,8
14,2008-08-01,121700,0,0,17
14,2008-08-02,134200,0,0,15
14,2008-08-03,123800,0,0,19
14,2008-08-04,146300,0,0,17
14,2008-08-05,82600,0,1,8
14,2008-08-06,108600,0,0,16
15,2008-08-01,265300,0,0,24
15,2008-08-02,302400,0,0,29
15,2008-08-03,407900,0,0,30
15,2008-08-04,206300,0,0,20
15,2008-08-05,170700,0,0,21
15,2008-08-06,218000,0,0,19
17,2008-08-01,239100,0,0,20
17,2008-08-02,483600,0,1,32
17,2008-08-03,452300,6900,0,34
17,2008-08-04,411600,35000,0,29
17,2008-08-05,302800,0,0,18
17,2008-08-06,354800,47000,1,21
18,2008-08-01,190400,0,3,14
18,2008-08-02,209900,0,1,15
18,2008-08-03,191100,0,0,14
18,2008-08-04,195700,0,0,8
18,2008-08-05,150400,0,0,12
18,2008-08-06,143500,0,0,9
13,2008-08-01,222700,24000,1,8
13,2008-08-02,639300,26000,0,13
13,2008-08-03,400700,110000,1,15
13,2008-08-04,172500,56000,1,7
13,2008-08-05,211000,19000,0,7
13,2008-08-06,411400,126000,4,13
27,2008-08-01,76000,0,1,7
27,2008-08-02,127724,0,0,10
27,2008-08-03,74772,15000,0,11
27,2008-08-04,60000,0,0,8
27,2008-08-05,89324,0,0,7
27,2008-08-06,111424,66000,1,11
28,2008-08-01,64000,0,1,5
28,2008-08-02,174400,0,1,20
28,2008-08-03,302900,0,2,20
28,2008-08-04,85600,14000,1,8
28,2008-08-05,34900,0,0,7
28,2008-08-06,154100,0,2,11
16,2008-08-01,236900,28000,0,20
16,2008-08-02,165800,7900,1,21
16,2008-08-03,317600,0,0,26
16,2008-08-04,246000,19300,1,14
16,2008-08-05,232100,0,0,15
16,2008-08-06,130500,0,0,14
32,2008-08-01,76700,0,0,6
32,2008-08-02,108300,0,1,11
32,2008-08-03,97100,0,0,11
32,2008-08-04,101900,0,0,15
32,2008-08-05,0,0,0,0
32,2008-08-06,131000,0,0,7
33,2008-08-01,117500,0,2,8
33,2008-08-02,61600,0,0,6
33,2008-08-03,226900,0,8,15
33,2008-08-04,138800,0,3,10
33,2008-08-05,81100,0,0,2
33,2008-08-06,76100,0,1,8
30,2008-08-01,280000,0,1,17
30,2008-08-02,360800,30500,3,20
30,2008-08-03,207600,0,2,12
30,2008-08-04,121100,0,0,7
30,2008-08-05,247500,29000,3,10
30,2008-08-06,143300,0,3,8
31,2008-08-01,33040,0,0,3
31,2008-08-02,328700,0,0,18
31,2008-08-03,108900,21000,1,7
31,2008-08-04,83500,0,0,5
31,2008-08-05,143400,0,0,10
31,2008-08-06,94200,0,0,6
69,2008-08-01,20500,0,0,2
69,2008-08-02,219200,0,0,16
69,2008-08-03,117500,0,0,8
69,2008-08-04,103700,0,2,11
69,2008-08-05,0,0,0,0
69,2008-08-06,56400,0,0,5
29,2008-08-01,121900,26000,0,9
29,2008-08-02,98600,60000,1,9
29,2008-08-03,456100,0,0,22
29,2008-08-04,116800,0,1,12
29,2008-08-05,216300,0,1,7
29,2008-08-06,245700,0,1,15
35,2008-08-01,172500,0,0,11
35,2008-08-02,138000,13800,0,9
35,2008-08-03,174400,0,1,8
35,2008-08-04,54900,0,1,5
35,2008-08-05,50900,0,0,5
35,2008-08-06,61800,11400,0,7
19,2008-08-01,116580,0,2,10
19,2008-08-02,181900,0,3,8
19,2008-08-03,221780,0,1,17
19,2008-08-04,109960,0,0,6
19,2008-08-05,109900,0,0,8
19,2008-08-06,272080,0,0,12
20,2008-08-01,201600,62000,2,13
20,2008-08-02,200340,52000,2,12
20,2008-08-03,201000,0,1,17
20,2008-08-04,234780,0,3,14
20,2008-08-05,102100,178200,1,13
20,2008-08-06,100080,0,0,9
21,2008-08-01,169940,0,1,9
21,2008-08-02,267620,0,2,8
21,2008-08-03,203520,0,1,13
21,2008-08-04,92020,0,2,6
21,2008-08-05,65080,0,0,5
21,2008-08-06,100040,0,1,8
22,2008-08-01,280700,0,1,22
22,2008-08-02,359581,0,41,20
22,2008-08-03,415300,125600,0,21
22,2008-08-04,178400,33000,0,11
22,2008-08-05,129200,93000,0,8
22,2008-08-06,168100,0,1,10
24,2008-08-01,53100,0,0,4
24,2008-08-02,52860,0,0,6
24,2008-08-03,177400,0,0,7
24,2008-08-04,332000,209000,0,6
24,2008-08-05,16000,0,0,1
24,2008-08-06,183800,0,0,7
26,2008-08-01,154760,0,1,10
26,2008-08-02,291370,0,0,8
26,2008-08-03,264400,29800,1,11
26,2008-08-04,153740,92600,1,9
26,2008-08-05,89130,0,0,5
26,2008-08-06,89400,0,0,5
25,2008-08-01,364700,0,0,6
25,2008-08-02,632200,0,0,19
25,2008-08-03,447300,0,2,11
25,2008-08-04,357200,0,0,8
25,2008-08-05,593200,0,0,11
25,2008-08-06,463400,0,2,8
68,2008-08-01,231200,0,0,8
68,2008-08-02,253300,0,1,16
68,2008-08-03,303900,0,0,18
68,2008-08-04,105800,0,0,5
68,2008-08-05,22200,0,0,4
68,2008-08-06,102800,0,0,7
8,2008-08-01,384200,87000,2,28
8,2008-08-02,486400,97000,1,17
8,2008-08-03,145310,76000,0,22
8,2008-08-04,283612,502000,0,14
8,2008-08-05,225080,35000,0,14
8,2008-08-06,779550,0,1,20
11,2008-08-01,66850,0,0,15
11,2008-08-02,100100,0,0,16
11,2008-08-03,142390,55000,0,26
11,2008-08-04,202350,2100,0,21
11,2008-08-05,171240,180000,0,28
11,2008-08-06,80200,0,1,17
2,2008-08-01,69800,0,0,3
2,2008-08-02,221000,0,3,6
2,2008-08-03,163300,0,0,8
2,2008-08-04,116500,0,0,5
2,2008-08-05,0,0,0,0
2,2008-08-06,187000,0,0,5
1,2008-08-01,931700,0,0,15
1,2008-08-02,772300,293000,0,19
1,2008-08-03,503300,40000,0,21
1,2008-08-04,517300,70000,0,15
1,2008-08-05,89500,48000,0,1
1,2008-08-06,227200,285500,0,8
4,2008-08-01,18400,48000,0,1
4,2008-08-02,91700,69500,0,3
4,2008-08-03,196000,0,0,4
4,2008-08-04,83300,21000,0,2
4,2008-08-05,109600,0,0,3
4,2008-08-06,39000,0,0,3
5,2008-08-01,11900,18000,0,1
5,2008-08-02,71500,25000,1,4
5,2008-08-03,12000,0,0,1
5,2008-08-04,21000,71000,0,2
5,2008-08-05,4500,3500,0,1
5,2008-08-06,214100,294000,0,4
7,2008-08-01,161500,55000,0,4
7,2008-08-02,346700,25000,2,11
7,2008-08-03,219100,0,0,8
7,2008-08-04,186000,12000,1,6
7,2008-08-05,242300,0,1,8
7,2008-08-06,264000,0,0,6
6,2008-08-01,39000,28000,0,2
6,2008-08-02,113400,0,1,4
6,2008-08-03,180700,0,1,4
6,2008-08-04,73300,0,0,3
6,2008-08-05,157800,36000,1,1
6,2008-08-06,55500,0,0,3
3,2008-08-01,234900,64000,5,8
3,2008-08-02,300700,18000,6,12
3,2008-08-03,251200,30000,2,7
3,2008-08-04,24900,0,0,2
3,2008-08-05,109500,0,7,6
3,2008-08-06,65000,13000,2,4
73,2008-08-01,100800,0,4,6
73,2008-08-02,163225,0,4,10
73,2008-08-03,167640,0,3,5
73,2008-08-04,43300,0,1,4
73,2008-08-05,68600,0,0,1
73,2008-08-06,0,0,0,0
66,2008-08-01,626360,180000,2,7
66,2008-08-02,293100,123000,1,6
66,2008-08-03,432650,123000,2,8
66,2008-08-04,0,0,0,0
66,2008-08-05,545000,0,1,9
66,2008-08-06,246250,69000,0,5
65,2008-08-01,25600,0,0,1
65,2008-08-02,449400,0,2,5
65,2008-08-03,508600,0,2,7
65,2008-08-04,67550,0,3,3
65,2008-08-05,227500,0,0,2
65,2008-08-06,367750,0,2,6
59,2008-08-01,330200,60000,1,9
59,2008-08-02,379700,19000,0,15
59,2008-08-03,506700,107000,2,18
59,2008-08-04,307700,23000,0,11
59,2008-08-05,476900,0,0,13
59,2008-08-06,322000,0,0,14
60,2008-08-01,262800,0,0,8
60,2008-08-02,401100,0,0,20
60,2008-08-03,746300,0,0,24
60,2008-08-04,360300,35000,1,12
