ID,日付,昨年実績,日割予算
12,2008-08-01,169900,200000
12,2008-08-02,226000,300000
12,2008-08-03,320300,300000
12,2008-08-04,179800,200000
12,2008-08-05,180800,200000
12,2008-08-06,182400,200000
12,2008-08-07,280200,200000
12,2008-08-08,212100,200000
12,2008-08-09,302700,300000
12,2008-08-10,237300,300000
12,2008-08-11,240000,200000
12,2008-08-12,226700,200000
12,2008-08-13,236500,200000
12,2008-08-14,189700,250000
12,2008-08-15,236800,250000
12,2008-08-16,191500,250000
12,2008-08-17,222100,250000
12,2008-08-18,135000,150000
12,2008-08-19,189400,150000
12,2008-08-20,168000,150000
12,2008-08-21,108300,150000
12,2008-08-22,148100,150000
12,2008-08-23,332700,250000
12,2008-08-24,303100,250000
12,2008-08-25,180600,150000
12,2008-08-26,163300,150000
12,2008-08-27,152700,150000
12,2008-08-28,107700,150000
12,2008-08-29,330700,150000
12,2008-08-30,200800,250000
12,2008-08-31,145800,250000
23,2008-08-01,153700,150000
23,2008-08-02,159200,230000
23,2008-08-03,150980,230000
23,2008-08-04,247000,130000
23,2008-08-05,281600,130000
23,2008-08-06,100540,130000
23,2008-08-07,52800,130000
23,2008-08-08,150624,130000
23,2008-08-09,150480,200000
23,2008-08-10,121400,200000
23,2008-08-11,220000,280000
23,2008-08-12,145800,280000
23,2008-08-13,81400,220000
23,2008-08-14,166500,220000
23,2008-08-15,160540,220000
23,2008-08-16,309700,300000
23,2008-08-17,198330,250000
23,2008-08-18,73800,140000
23,2008-08-19,387700,140000
23,2008-08-20,102840,130000
23,2008-08-21,340000,130000
23,2008-08-22,100740,130000
23,2008-08-23,100900,250000
23,2008-08-24,161340,250000
23,2008-08-25,320000,150000
23,2008-08-26,62100,150000
23,2008-08-27,285120,150000
23,2008-08-28,108000,150000
23,2008-08-29,184000,200000
23,2008-08-30,132000,300000
23,2008-08-31,64800,300000
14,2008-08-01,154600,150000
14,2008-08-02,178700,200000
14,2008-08-03,151100,200000
14,2008-08-04,175000,200000
14,2008-08-05,156800,200000
14,2008-08-06,167900,200000
14,2008-08-07,191600,200000
14,2008-08-08,270000,200000
14,2008-08-09,157100,200000
14,2008-08-10,250300,150000
14,2008-08-11,102800,150000
14,2008-08-12,202400,150000
14,2008-08-13,131600,150000
14,2008-08-14,209400,150000
14,2008-08-15,103900,150000
14,2008-08-16,118000,150000
14,2008-08-17,106700,150000
14,2008-08-18,196000,200000
14,2008-08-19,214100,200000
14,2008-08-20,216700,200000
14,2008-08-21,219000,200000
14,2008-08-22,291300,200000
14,2008-08-23,201600,200000
14,2008-08-24,242100,200000
14,2008-08-25,285400,250000
14,2008-08-26,252300,250000
14,2008-08-27,132000,250000
14,2008-08-28,308300,250000
14,2008-08-29,236300,250000
14,2008-08-30,224000,200000
14,2008-08-31,175000,200000
15,2008-08-01,237300,300000
15,2008-08-02,269200,450000
15,2008-08-03,317600,400000
15,2008-08-04,304500,300000
15,2008-08-05,397000,300000
15,2008-08-06,329600,300000
15,2008-08-07,373300,300000
15,2008-08-08,268900,300000
15,2008-08-09,425800,400000
15,2008-08-10,261600,350000
15,2008-08-11,312600,300000
15,2008-08-12,354000,300000
15,2008-08-13,311000,300000
15,2008-08-14,295100,300000
15,2008-08-15,256700,300000
15,2008-08-16,423100,400000
15,2008-08-17,393500,400000
15,2008-08-18,360500,300000
15,2008-08-19,218600,300000
15,2008-08-20,226900,300000
15,2008-08-21,302080,300000
15,2008-08-22,304400,300000
15,2008-08-23,506600,500000
15,2008-08-24,352100,450000
15,2008-08-25,241900,300000
15,2008-08-26,253400,300000
15,2008-08-27,189200,300000
15,2008-08-28,361300,300000
15,2008-08-29,380480,300000
15,2008-08-30,405100,450000
15,2008-08-31,420700,400000
17,2008-08-01,200600,300000
17,2008-08-02,253200,400000
17,2008-08-03,611300,450000
17,2008-08-04,307800,350000
17,2008-08-05,385000,300000
17,2008-08-06,300400,300000
17,2008-08-07,303500,300000
17,2008-08-08,418700,300000
17,2008-08-09,419300,450000
17,2008-08-10,360100,450000
17,2008-08-11,529000,350000
17,2008-08-12,355300,300000
17,2008-08-13,0,300000
17,2008-08-14,0,300000
17,2008-08-15,477800,300000
17,2008-08-16,375800,450000
17,2008-08-17,551500,450000
17,2008-08-18,436900,350000
17,2008-08-19,301100,0
17,2008-08-20,225800,350000
17,2008-08-21,333500,350000
17,2008-08-22,481600,350000
17,2008-08-23,355100,450000
17,2008-08-24,551200,450000
17,2008-08-25,350000,350000
17,2008-08-26,300000,350000
17,2008-08-27,316400,350000
17,2008-08-28,477800,350000
17,2008-08-29,301300,350000
17,2008-08-30,366000,450000
17,2008-08-31,402300,450000
18,2008-08-01,150000,150000
18,2008-08-02,334800,250000
18,2008-08-03,177300,300000
18,2008-08-04,174800,150000
18,2008-08-05,410500,150000
18,2008-08-06,125800,150000
18,2008-08-07,132500,150000
18,2008-08-08,164600,150000
18,2008-08-09,138000,300000
18,2008-08-10,355300,300000
18,2008-08-11,102100,150000
18,2008-08-12,133500,150000
18,2008-08-13,268300,200000
18,2008-08-14,370400,200000
18,2008-08-15,142300,200000
18,2008-08-16,212700,350000
18,2008-08-17,225000,300000
18,2008-08-18,153100,150000
18,2008-08-19,244400,150000
18,2008-08-20,61100,150000
18,2008-08-21,213600,150000
18,2008-08-22,264600,150000
18,2008-08-23,292400,350000
18,2008-08-24,424000,350000
18,2008-08-25,91000,150000
18,2008-08-26,120000,150000
18,2008-08-27,181400,150000
18,2008-08-28,122600,150000
18,2008-08-29,87600,150000
18,2008-08-30,235600,350000
18,2008-08-31,370400,350000
13,2008-08-01,359000,400000
13,2008-08-02,250200,500000
13,2008-08-03,176500,500000
13,2008-08-04,424000,300000
13,2008-08-05,252200,300000
13,2008-08-06,383000,300000
13,2008-08-07,203700,300000
13,2008-08-08,240400,300000
13,2008-08-09,525600,450000
13,2008-08-10,252700,450000
13,2008-08-11,268200,300000
13,2008-08-12,350000,300000
13,2008-08-13,329000,300000
13,2008-08-14,162300,300000
13,2008-08-15,214100,300000
13,2008-08-16,1099500,400000
13,2008-08-17,1432100,400000
13,2008-08-18,713400,200000
13,2008-08-19,320600,200000
13,2008-08-20,550800,200000
13,2008-08-21,526500,200000
13,2008-08-22,742900,1000000
13,2008-08-23,223300,1500000
13,2008-08-24,734900,800000
13,2008-08-25,440800,500000
13,2008-08-26,300800,500000
13,2008-08-27,550000,500000
13,2008-08-28,205300,500000
13,2008-08-29,453000,500000
13,2008-08-30,308400,650000
13,2008-08-31,301700,650000
27,2008-08-01,393600,150000
27,2008-08-02,227600,300000
27,2008-08-03,185500,300000
27,2008-08-04,118500,100000
27,2008-08-05,117800,150000
27,2008-08-06,49600,150000
27,2008-08-07,117900,150000
27,2008-08-08,64000,150000
27,2008-08-09,80800,250000
27,2008-08-10,36000,250000
27,2008-08-11,183500,100000
27,2008-08-12,315800,100000
27,2008-08-13,178500,100000
27,2008-08-14,64600,100000
27,2008-08-15,111600,100000
27,2008-08-16,88600,250000
27,2008-08-17,216800,250000
27,2008-08-18,138800,100000
27,2008-08-19,170400,100000
27,2008-08-20,55000,100000
27,2008-08-21,124900,100000
27,2008-08-22,55100,100000
27,2008-08-23,103100,400000
27,2008-08-24,58000,400000
27,2008-08-25,401100,250000
27,2008-08-26,552000,250000
27,2008-08-27,136700,250000
27,2008-08-28,212200,250000
27,2008-08-29,297000,250000
27,2008-08-30,112800,500000
27,2008-08-31,399900,500000
28,2008-08-01,63000,100000
28,2008-08-02,351000,350000
28,2008-08-03,301100,400000
28,2008-08-04,170300,100000
28,2008-08-05,61000,100000
28,2008-08-06,130300,100000
28,2008-08-07,48100,100000
28,2008-08-08,102500,150000
28,2008-08-09,250700,400000
28,2008-08-10,570200,450000
28,2008-08-11,121500,100000
28,2008-08-12,130200,100000
28,2008-08-13,91400,150000
28,2008-08-14,102200,150000
28,2008-08-15,145700,150000
28,2008-08-16,318600,400000
28,2008-08-17,297100,350000
28,2008-08-18,100700,100000
28,2008-08-19,90800,100000
28,2008-08-20,83900,130000
28,2008-08-21,110900,100000
28,2008-08-22,163900,150000
28,2008-08-23,213600,300000
